week_start,region,channel,campaign,spend,impressions
2025-10-13,South,Online,AlwaysOn,63777.0,36703
2025-10-13,East,Direct,AlwaysOn,107336.79,58317
2025-10-13,East,Partner,AlwaysOn,105195.15,58200
2025-10-13,East,Online,AlwaysOn,51869.87,23652
2025-10-13,West,Direct,AlwaysOn,187906.45,106612
2025-10-13,West,Partner,AlwaysOn,170627.81,80909
2025-10-13,West,Online,AlwaysOn,114806.27,66014
2025-10-20,North,Direct,AlwaysOn,202287.58,88725
2025-10-20,North,Partner,AlwaysOn,162504.22,89522
2025-10-20,North,Online,AlwaysOn,82332.31,51243
2025-10-20,South,Direct,AlwaysOn,189878.64,80567
2025-10-20,South,Partner,AlwaysOn,125636.28,76226
2025-10-20,South,Online,AlwaysOn,67617.27,40768
2025-10-20,East,Direct,AlwaysOn,136805.72,68983
2025-10-20,East,Partner,AlwaysOn,102280.4,45576
2025-10-20,East,Online,AlwaysOn,58806.78,27567
2025-10-20,West,Direct,AlwaysOn,223864.3,114821
2025-10-20,West,Partner,AlwaysOn,167927.59,90655
2025-10-20,West,Online,AlwaysOn,97224.13,43528
2025-10-27,North,Direct,AlwaysOn,185489.83,89452
2025-10-27,North,Partner,AlwaysOn,141010.39,68741
2025-10-27,North,Online,AlwaysOn,92373.48,46160
2025-10-27,South,Direct,AlwaysOn,171215.84,102702
2025-10-27,South,Partner,AlwaysOn,118103.62,49571
2025-10-27,South,Online,AlwaysOn,79924.05,39503
2025-10-27,East,Direct,AlwaysOn,163806.23,92072
2025-10-27,East,Partner,AlwaysOn,104783.97,63022
2025-10-27,East,Online,AlwaysOn,53401.04,28523
2025-10-27,West,Direct,AlwaysOn,217584.66,93396
2025-10-27,West,Partner,AlwaysOn,151509.87,68517
2025-10-27,West,Online,AlwaysOn,89622.42,40891
2025-11-03,North,Direct,AlwaysOn,203954.78,93299
2025-11-03,North,Partner,AlwaysOn,131581.21,73316
2025-11-03,North,Online,AlwaysOn,83726.64,39345
2025-11-03,South,Direct,AlwaysOn,150374.29,89662
2025-11-03,South,Partner,AlwaysOn,125468.51,53821
2025-11-03,South,Online,AlwaysOn,72641.69,31653
2025-11-03,East,Direct,AlwaysOn,136971.18,60389
2025-11-03,East,Partner,AlwaysOn,110664.46,66100
2025-11-03,East,Online,AlwaysOn,67408.11,37240
2025-11-03,West,Direct,AlwaysOn,234872.56,111691
2025-11-03,West,Partner,AlwaysOn,174563.77,74558
2025-11-03,West,Online,AlwaysOn,104537.32,44423
2025-11-10,North,Direct,AlwaysOn,198677.12,86590
2025-11-10,North,Partner,AlwaysOn,142191.77,86025
2025-11-10,North,Online,AlwaysOn,80644.43,38953
2025-11-10,South,Direct,AlwaysOn,167882.99,79432
2025-11-10,South,Partner,AlwaysOn,117118.99,66731
2025-11-10,South,Online,AlwaysOn,64027.95,27730
2025-11-10,East,Direct,AlwaysOn,150258.8,87568
2025-11-10,East,Partner,AlwaysOn,98843.75,49003
2025-11-10,East,Online,AlwaysOn,65687.43,29222
2025-11-10,West,Direct,AlwaysOn,198351.43,118045
2025-11-10,West,Partner,AlwaysOn,144547.46,79218
2025-11-10,West,Online,AlwaysOn,102937.92,59245
2025-11-17,North,Direct,AlwaysOn,201493.62,103671
2025-11-17,North,Partner,AlwaysOn,133849.4,81335
2025-11-17,North,Online,AlwaysOn,88442.2,41414
2025-11-17,South,Direct,AlwaysOn,173532.7,87455
2025-11-17,South,Partner,AlwaysOn,121092.87,59364
2025-11-17,South,Online,AlwaysOn,62649.25,30565
2025-11-17,East,Direct,AlwaysOn,151034.1,66698
2025-11-17,East,Partner,AlwaysOn,104248.77,59745
2025-11-17,East,Online,AlwaysOn,52447.7,26684
2025-11-17,West,Direct,AlwaysOn,204608.1,105727
2025-11-17,West,Partner,AlwaysOn,180009.92,112090
2025-11-17,West,Online,AlwaysOn,105645.93,52612
2025-11-24,North,Direct,AlwaysOn,214539.15,116241
2025-11-24,North,Partner,AlwaysOn,157180.23,86340
2025-11-24,North,Online,AlwaysOn,84950.22,42909
2025-11-24,South,Direct,AlwaysOn,140562.06,71922
2025-11-24,South,Partner,AlwaysOn,135475.17,76114
2025-11-24,South,Online,AlwaysOn,71450.43,30892
2025-11-24,East,Direct,AlwaysOn,119336.75,69228
2025-11-24,East,Partner,AlwaysOn,111496.51,54274
2025-11-24,East,Online,AlwaysOn,64031.99,34651
2025-11-24,West,Direct,AlwaysOn,221205.26,103171
2025-11-24,West,Partner,AlwaysOn,183099.54,86625
2025-11-24,West,Online,AlwaysOn,81002.19,41779
2025-12-01,North,Direct,AlwaysOn,198829.55,82952
2025-12-01,North,Partner,AlwaysOn,128278.63,63937
2025-12-01,North,Online,AlwaysOn,85883.29,39165
2025-12-01,South,Direct,AlwaysOn,193041.2,84112
2025-12-01,South,Partner,AlwaysOn,114386.2,58365
2025-12-01,South,Online,AlwaysOn,69732.21,34430
2025-12-01,East,Direct,AlwaysOn,140459.09,83276
2025-12-01,East,Partner,AlwaysOn,109554.55,57512
2025-12-01,East,Online,AlwaysOn,58331.17,34471
2025-12-01,West,Direct,AlwaysOn,265544.89,147050
2025-12-01,West,Partner,AlwaysOn,167309.0,85347
2025-12-01,West,Online,AlwaysOn,90845.72,44950
2025-12-08,North,Direct,AlwaysOn,192070.21,86569
2025-12-08,North,Partner,AlwaysOn,144917.49,81037
2025-12-08,North,Online,AlwaysOn,83904.79,35180
2025-12-08,South,Direct,AlwaysOn,172956.29,87569
2025-12-08,South,Partner,AlwaysOn,123475.26,73331
2025-12-08,South,Online,AlwaysOn,69627.05,30047
2025-12-08,East,Direct,AlwaysOn,138391.18,60508
2025-12-08,East,Partner,AlwaysOn,97003.49,52907
2025-12-08,East,Online,AlwaysOn,68985.73,41234
2025-12-08,West,Direct,AlwaysOn,264677.99,155192
2025-12-08,West,Partner,AlwaysOn,163388.43,75236
2025-12-08,West,Online,AlwaysOn,97301.39,43965
2025-12-15,North,Direct,AlwaysOn,217116.01,105407
2025-12-15,North,Partner,AlwaysOn,130355.27,59500
2025-12-15,North,Online,AlwaysOn,89686.69,44030
2025-12-15,South,Direct,AlwaysOn,179563.55,104724
2025-12-15,South,Partner,AlwaysOn,120695.89,54779
2025-12-15,South,Online,AlwaysOn,67908.42,41048
2025-12-15,East,Direct,AlwaysOn,149944.54,74090
2025-12-15,East,Partner,AlwaysOn,102079.4,43684
2025-12-15,East,Online,AlwaysOn,56208.73,26917
2025-12-15,West,Direct,AlwaysOn,204374.75,105440
2025-12-15,West,Partner,AlwaysOn,140092.02,64347
2025-12-15,West,Online,AlwaysOn,82819.47,38786
2025-12-22,North,Direct,AlwaysOn,170260.89,90917
2025-12-22,North,Partner,AlwaysOn,138924.81,61872
2025-12-22,North,Online,AlwaysOn,90196.85,46631
2025-12-22,South,Direct,AlwaysOn,157369.85,69511
2025-12-22,South,Partner,AlwaysOn,104204.04,59330
2025-12-22,South,Online,AlwaysOn,67537.59,40495
2025-12-22,East,Direct,AlwaysOn,131546.2,64099
2025-12-22,East,Partner,AlwaysOn,90445.8,51187
2025-12-22,East,Online,AlwaysOn,60206.66,26160
2025-12-22,West,Direct,AlwaysOn,207111.63,88745
2025-12-22,West,Partner,AlwaysOn,172236.37,105898
2025-12-22,West,Online,AlwaysOn,97657.29,41714
2025-12-29,North,Direct,AlwaysOn,184985.77,77093
2025-12-29,North,Partner,AlwaysOn,133659.66,70820
2025-12-29,North,Online,AlwaysOn,84370.1,40280
2025-12-29,South,Direct,AlwaysOn,162205.08,87458
2025-12-29,South,Partner,AlwaysOn,129453.78,75516
2025-12-29,South,Online,AlwaysOn,72434.78,42268
2025-12-29,East,Direct,AlwaysOn,138676.15,84759
2025-12-29,East,Partner,AlwaysOn,117277.19,71358
2025-12-29,East,Online,AlwaysOn,62700.91,33060
2025-12-29,West,Direct,AlwaysOn,208260.52,126043
2025-12-29,West,Partner,AlwaysOn,156953.57,82883
2025-12-29,West,Online,AlwaysOn,104536.02,60253
2026-01-05,North,Direct,AlwaysOn,188294.28,102930
2026-01-05,North,Partner,AlwaysOn,134898.1,66001
2026-01-05,North,Online,AlwaysOn,85507.93,43250
2026-01-05,South,Direct,AlwaysOn,127531.08,65191
2026-01-05,South,Partner,AlwaysOn,139821.41,67926
2026-01-05,South,Online,AlwaysOn,77645.54,39151
2026-01-05,East,Direct,AlwaysOn,150327.65,62785
2026-01-05,East,Partner,AlwaysOn,93854.08,52705
2026-01-05,East,Online,AlwaysOn,58566.28,36359
2026-01-05,West,Direct,AlwaysOn,221942.89,96556
2026-01-05,West,Partner,AlwaysOn,171883.93,73913
2026-01-05,West,Online,AlwaysOn,96751.03,40616
2026-01-12,North,Direct,AlwaysOn,176002.38,94600
2026-01-12,North,Partner,AlwaysOn,137134.72,73999
2026-01-12,North,Online,AlwaysOn,92339.27,45292
2026-01-12,South,Direct,AlwaysOn,170853.22,71851
2026-01-12,South,Partner,AlwaysOn,113490.85,54125
2026-01-12,South,Online,AlwaysOn,78556.61,43588
2026-01-12,East,Direct,AlwaysOn,145312.84,67688
2026-01-12,East,Partner,AlwaysOn,82853.37,41984
2026-01-12,East,Online,AlwaysOn,52935.52,22336
2026-01-12,West,Direct,AlwaysOn,233791.68,114811
2026-01-12,West,Partner,AlwaysOn,134653.81,65221
2026-01-12,West,Online,AlwaysOn,106120.47,65300
2026-01-19,North,Direct,AlwaysOn,205482.37,117167
2026-01-19,North,Partner,AlwaysOn,154701.14,83159
2026-01-19,North,Online,AlwaysOn,83101.24,42661
2026-01-19,South,Direct,AlwaysOn,177970.03,90117
2026-01-19,South,Partner,AlwaysOn,111006.64,58876
2026-01-19,South,Online,AlwaysOn,77569.59,42978
2026-01-19,East,Direct,AlwaysOn,137819.67,61462
2026-01-19,East,Partner,AlwaysOn,110833.18,62174
2026-01-19,East,Online,AlwaysOn,63106.98,30741
2026-01-19,West,Direct,AlwaysOn,205261.78,89532
2026-01-19,West,Partner,AlwaysOn,154429.11,92830
2026-01-19,West,Online,AlwaysOn,114520.05,53459
2026-01-26,North,Direct,AlwaysOn,206124.2,86163
2026-01-26,North,Partner,AlwaysOn,142526.06,81618
2026-01-26,North,Online,AlwaysOn,90456.87,39508
2026-01-26,South,Direct,AlwaysOn,198064.94,121607
2026-01-26,South,Partner,AlwaysOn,132123.72,66386
2026-01-26,South,Online,AlwaysOn,75992.32,37401
2026-01-26,East,Direct,AlwaysOn,143504.0,69992
2026-01-26,East,Partner,AlwaysOn,122980.18,71180
2026-01-26,East,Online,AlwaysOn,55355.94,28362
2026-01-26,West,Direct,AlwaysOn,240559.28,100509
2026-01-26,West,Partner,AlwaysOn,161780.05,82117
2026-01-26,West,Online,AlwaysOn,101040.07,43717
2026-02-02,North,Direct,AlwaysOn,199109.33,97979
2026-02-02,North,Partner,AlwaysOn,113351.13,58123
2026-02-02,North,Online,AlwaysOn,79508.6,48347
2026-02-02,South,Direct,AlwaysOn,133422.03,60714
2026-02-02,South,Partner,AlwaysOn,115430.05,63364
2026-02-02,South,Online,AlwaysOn,81083.95,48477
2026-02-02,East,Direct,AlwaysOn,148031.32,86970
2026-02-02,East,Partner,AlwaysOn,104470.78,51356
2026-02-02,East,Online,AlwaysOn,61790.65,33443
2026-02-02,West,Direct,AlwaysOn,212406.53,100873
2026-02-02,West,Partner,AlwaysOn,158933.43,95716
2026-02-02,West,Online,AlwaysOn,104731.7,43909
2026-02-09,North,Direct,AlwaysOn,179928.97,80351
2026-02-09,North,Partner,AlwaysOn,146698.05,70051
2026-02-09,North,Online,AlwaysOn,82555.09,49876
2026-02-09,South,Direct,AlwaysOn,154116.38,81940
2026-02-09,South,Partner,AlwaysOn,133001.08,60716
2026-02-09,South,Online,AlwaysOn,67417.45,39263
2026-02-09,East,Direct,AlwaysOn,158814.72,71890
2026-02-09,East,Partner,AlwaysOn,91134.73,49868
2026-02-09,East,Online,AlwaysOn,59678.56,33577
2026-02-09,West,Direct,AlwaysOn,247331.66,104197
2026-02-09,West,Partner,AlwaysOn,179095.11,103339
2026-02-09,West,Online,AlwaysOn,98372.76,53075
2026-02-16,North,Direct,AlwaysOn,174774.87,99779
2026-02-16,North,Partner,AlwaysOn,158319.46,74911
2026-02-16,North,Online,AlwaysOn,93648.45,56843
2026-02-16,South,Direct,AlwaysOn,136533.36,63677
2026-02-16,South,Partner,AlwaysOn,141615.7,75380
2026-02-16,South,Online,AlwaysOn,64881.32,29237
2026-02-16,East,Direct,AlwaysOn,159234.86,99285
2026-02-16,East,Partner,AlwaysOn,97512.97,60811
2026-02-16,East,Online,AlwaysOn,61773.32,28716
2026-02-16,West,Direct,AlwaysOn,233124.45,127144
2026-02-16,West,Partner,AlwaysOn,175978.37,96252
2026-02-16,West,Online,AlwaysOn,109971.35,65333
2026-02-23,North,Direct,AlwaysOn,196891.89,109251
2026-02-23,North,Partner,AlwaysOn,133572.32,57371
2026-02-23,North,Online,AlwaysOn,75300.85,34500
2026-02-23,South,Direct,AlwaysOn,179122.2,108440
2026-02-23,South,Partner,AlwaysOn,138127.48,81818
2026-02-23,South,Online,AlwaysOn,76539.65,36088
2026-02-23,East,Direct,AlwaysOn,155238.22,64950
2026-02-23,East,Partner,AlwaysOn,95255.68,46718
2026-02-23,East,Online,AlwaysOn,67262.1,35426
2026-02-23,West,Direct,AlwaysOn,238281.19,130841
2026-02-23,West,Partner,AlwaysOn,177160.19,108114
2026-02-23,West,Online,AlwaysOn,104638.96,44295
2026-03-02,North,Direct,AlwaysOn,190155.98,116162
2026-03-02,North,Partner,AlwaysOn,161756.62,85081
2026-03-02,North,Online,AlwaysOn,88322.61,50115
2026-03-02,South,Direct,AlwaysOn,174768.45,104732
2026-03-02,South,Partner,AlwaysOn,128479.22,65094
2026-03-02,South,Online,AlwaysOn,69919.48,36042
2026-03-02,East,Direct,AlwaysOn,145855.54,80463
2026-03-02,East,Partner,AlwaysOn,101661.52,47674
2026-03-02,East,Online,AlwaysOn,58239.38,32939
2026-03-02,West,Direct,AlwaysOn,226745.86,120336
2026-03-02,West,Partner,AlwaysOn,185653.23,77372
2026-03-02,West,Online,AlwaysOn,94463.75,41100
2026-03-09,North,Direct,AlwaysOn,188143.24,110405
2026-03-09,North,Partner,AlwaysOn,137771.78,73195
2026-03-09,North,Online,AlwaysOn,76845.23,32528
2026-03-09,South,Direct,AlwaysOn,193307.93,82997
2026-03-09,South,Partner,AlwaysOn,108387.11,46167
2026-03-09,South,Online,AlwaysOn,74956.0,31478
2026-03-09,East,Direct,AlwaysOn,131233.98,71535
2026-03-09,East,Partner,AlwaysOn,100723.71,48843
2026-03-09,East,Online,AlwaysOn,50718.42,30930
2026-03-09,West,Direct,AlwaysOn,250288.97,151856
2026-03-09,West,Partner,AlwaysOn,181457.33,95327
2026-03-09,West,Online,AlwaysOn,102113.93,46017
2026-03-16,North,Direct,AlwaysOn,182609.23,79365
2026-03-16,North,Partner,AlwaysOn,130291.12,65401
2026-03-16,North,Online,AlwaysOn,68692.11,41732
2026-03-16,South,Direct,AlwaysOn,166081.06,86154
2026-03-16,South,Partner,AlwaysOn,104439.92,45160
2026-03-16,South,Online,AlwaysOn,73952.4,37624
2026-03-16,East,Direct,AlwaysOn,170793.37,75217
2026-03-16,East,Partner,AlwaysOn,109670.14,51416
2026-03-16,East,Online,AlwaysOn,62867.56,27117
2026-03-16,West,Direct,AlwaysOn,210987.94,107124
2026-03-16,West,Partner,AlwaysOn,161694.36,91633
2026-03-16,West,Online,AlwaysOn,114163.55,57323
2026-03-23,North,Direct,AlwaysOn,207756.11,128441
2026-03-23,North,Partner,AlwaysOn,150706.03,66124
2026-03-23,North,Online,AlwaysOn,89059.93,46400
2026-03-23,South,Direct,AlwaysOn,158412.5,72766
2026-03-23,South,Partner,AlwaysOn,105188.93,54789
2026-03-23,South,Online,AlwaysOn,67166.48,28235
2026-03-23,East,Direct,AlwaysOn,168892.63,84424
2026-03-23,East,Partner,AlwaysOn,101435.81,50502
2026-03-23,East,Online,AlwaysOn,55041.62,28178
2026-03-23,West,Direct,AlwaysOn,212216.15,93360
2026-03-23,West,Partner,AlwaysOn,144336.46,79541
2026-03-23,West,Online,AlwaysOn,97593.78,55290
2026-03-30,North,Direct,AlwaysOn,226319.87,124140
2026-03-30,North,Partner,AlwaysOn,127671.73,56550
2026-03-30,North,Online,AlwaysOn,98527.34,58274
2026-03-30,South,Direct,AlwaysOn,173988.23,86042
2026-03-30,South,Partner,AlwaysOn,120587.07,67268
2026-03-30,South,Online,AlwaysOn,66752.74,39369
2026-03-30,East,Direct,AlwaysOn,152597.28,87906
2026-03-30,East,Partner,AlwaysOn,99195.57,58615
2026-03-30,East,Online,AlwaysOn,58703.79,24511
2026-03-30,West,Direct,AlwaysOn,221657.89,95208
2026-03-30,West,Partner,AlwaysOn,153665.08,71591
2026-03-30,West,Online,AlwaysOn,111649.95,48481
2026-04-06,North,Direct,AlwaysOn,192469.82,111345
2026-04-06,North,Partner,AlwaysOn,153092.96,77985
2026-04-06,North,Online,AlwaysOn,85447.78,44076
2026-04-06,South,Direct,AlwaysOn,147920.92,67984
2026-04-06,South,Partner,AlwaysOn,125785.89,65455
2026-04-06,South,Online,AlwaysOn,68575.17,33456
2026-04-06,East,Direct,AlwaysOn,141396.11,84080
2026-04-06,East,Partner,AlwaysOn,121977.9,64133
2026-04-06,East,Online,AlwaysOn,54879.66,30275
2026-04-06,West,Direct,AlwaysOn,225700.51,138971
2026-04-06,West,Partner,AlwaysOn,165717.76,87835
2026-04-06,West,Online,AlwaysOn,82950.12,35663
2026-04-13,North,Direct,AlwaysOn,201661.76,93196
2026-04-13,North,Partner,AlwaysOn,134315.89,58677
2026-04-13,North,Online,AlwaysOn,89803.42,37793
2026-04-13,South,Direct,AlwaysOn,187485.09,83914
2026-04-13,South,Partner,AlwaysOn,124008.91,73144
2026-04-13,South,Online,AlwaysOn,62997.1,34225
2026-04-13,East,Direct,AlwaysOn,132232.77,76051
2026-04-13,East,Partner,AlwaysOn,104224.96,55029
2026-04-13,East,Online,AlwaysOn,64063.58,33760
2026-04-13,West,Direct,AlwaysOn,229315.18,126635
2026-04-13,West,Partner,AlwaysOn,161576.41,72635
2026-04-13,West,Online,AlwaysOn,99517.04,61200
2026-04-20,North,Direct,AlwaysOn,184089.89,105506
2026-04-20,North,Partner,AlwaysOn,126828.12,77048
2026-04-20,North,Online,AlwaysOn,78952.6,47169
2026-04-20,South,Direct,AlwaysOn,167978.23,88899
2026-04-20,South,Partner,AlwaysOn,116123.37,61847
2026-04-20,South,Online,AlwaysOn,61193.58,38216
2026-04-20,East,Direct,AlwaysOn,118636.9,60159
2026-04-20,East,Partner,AlwaysOn,109804.48,63121
2026-04-20,East,Online,AlwaysOn,66676.3,41258
2026-04-20,West,Direct,AlwaysOn,236098.93,119365
2026-04-20,West,Partner,AlwaysOn,155796.73,65939
2026-04-20,West,Online,AlwaysOn,87733.63,43887
2026-04-27,North,Direct,AlwaysOn,186395.13,89124
2026-04-27,North,Partner,AlwaysOn,152443.62,64275
2026-04-27,North,Online,AlwaysOn,83866.26,45343
2026-04-27,South,Direct,AlwaysOn,189614.33,92991
2026-04-27,South,Partner,AlwaysOn,126731.64,58647
2026-04-27,South,Online,AlwaysOn,69935.06,38561
2026-04-27,East,Direct,AlwaysOn,128436.02,58301
2026-04-27,East,Partner,AlwaysOn,106442.49,58934
2026-04-27,East,Online,AlwaysOn,61838.87,33214
2026-04-27,West,Direct,AlwaysOn,229626.63,115212
2026-04-27,West,Partner,AlwaysOn,183300.18,100220
2026-04-27,West,Online,AlwaysOn,86986.16,45346
2026-05-04,North,Direct,AlwaysOn,205643.02,102538
2026-05-04,North,Partner,AlwaysOn,136265.11,59060
2026-05-04,North,Online,AlwaysOn,84224.43,35987
2026-05-04,South,Direct,AlwaysOn,178069.54,108653
2026-05-04,South,Partner,AlwaysOn,129283.31,57761
2026-05-04,South,Online,AlwaysOn,70992.5,31125
2026-05-04,East,Direct,AlwaysOn,122811.82,61662
2026-05-04,East,Partner,AlwaysOn,113138.63,66927
2026-05-04,East,Online,AlwaysOn,51059.62,26947
2026-05-04,West,Direct,AlwaysOn,221632.24,93452
2026-05-04,West,Partner,AlwaysOn,177460.08,89579
2026-05-04,West,Online,AlwaysOn,101839.12,47331
2026-05-11,North,Direct,AlwaysOn,179041.52,77784
2026-05-11,North,Partner,AlwaysOn,130265.76,57544
2026-05-11,North,Online,AlwaysOn,91467.36,41463
2026-05-11,South,Direct,AlwaysOn,149970.57,68031
2026-05-11,South,Partner,AlwaysOn,143106.4,65977
2026-05-11,South,Online,AlwaysOn,66321.07,41020
2026-05-11,East,Direct,AlwaysOn,122693.27,74968
2026-05-11,East,Partner,AlwaysOn,89450.26,49920
2026-05-11,East,Online,AlwaysOn,64266.02,30025
2026-05-11,West,Direct,AlwaysOn,228858.63,130651
2026-05-11,West,Partner,AlwaysOn,170051.79,75961
2026-05-11,West,Online,AlwaysOn,89497.22,45378
2026-05-18,North,Direct,AlwaysOn,181149.96,98952
2026-05-18,North,Partner,AlwaysOn,143010.06,71253
2026-05-18,North,Online,AlwaysOn,86255.26,37337
2026-05-18,South,Direct,AlwaysOn,186261.05,114827
2026-05-18,South,Partner,AlwaysOn,110028.73,46165
2026-05-18,South,Online,AlwaysOn,67716.72,32820
2026-05-18,East,Direct,AlwaysOn,150585.52,69410
2026-05-18,East,Partner,AlwaysOn,97484.41,51054
2026-05-18,East,Online,AlwaysOn,61235.92,32427
2026-05-18,West,Direct,AlwaysOn,225910.82,110338
2026-05-18,West,Partner,AlwaysOn,164452.05,70731
2026-05-18,West,Online,AlwaysOn,109269.4,63641
2026-05-25,North,Direct,AlwaysOn,187343.97,82244
2026-05-25,North,Partner,AlwaysOn,162254.55,101040
2026-05-25,North,Online,AlwaysOn,71955.63,33174
2026-05-25,South,Direct,AlwaysOn,175489.1,81495
2026-05-25,South,Partner,AlwaysOn,117220.54,55136
2026-05-25,South,Online,AlwaysOn,71045.21,32431
2026-05-25,East,Direct,AlwaysOn,128674.81,55209
2026-05-25,East,Partner,AlwaysOn,105608.54,62655
2026-05-25,East,Online,AlwaysOn,64040.29,27391
2026-05-25,West,Direct,AlwaysOn,234389.35,120247
2026-05-25,West,Partner,AlwaysOn,162928.87,74619
2026-05-25,West,Online,AlwaysOn,97844.94,41470
2026-06-01,North,Direct,AlwaysOn,204387.12,87983
2026-06-01,North,Partner,AlwaysOn,139718.44,69460
2026-06-01,North,Online,AlwaysOn,79979.98,48315
2026-06-01,South,Direct,AlwaysOn,180213.89,83502
2026-06-01,South,Partner,AlwaysOn,115517.81,57795
2026-06-01,South,Online,AlwaysOn,67822.33,30507
2026-06-01,East,Direct,AlwaysOn,153674.14,81943
2026-06-01,East,Partner,AlwaysOn,106017.78,50294
2026-06-01,East,Online,AlwaysOn,52121.43,21883
2026-06-01,West,Direct,AlwaysOn,224037.15,115389
2026-06-01,West,Partner,AlwaysOn,158023.92,95539
2026-06-01,West,Online,AlwaysOn,89599.78,49891
2026-06-08,North,Direct,AlwaysOn,177017.38,90536
2026-06-08,North,Partner,AlwaysOn,124486.84,66579
2026-06-08,North,Online,AlwaysOn,92858.04,40681
2026-06-08,South,Direct,AlwaysOn,165727.29,79690
2026-06-08,South,Partner,AlwaysOn,124279.4,73339
2026-06-08,South,Online,AlwaysOn,68555.39,30696
